사업자 현황 ( 1월/100대 생활업종),,,,,,,,
*조회년월,,2020년 1월,,,,,,
,,,,,,,,
,,,,,,,"(단위 : 인원수, %)",
구분,,, 사업자 수,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),
 업종전체,경상남도,양산시," 15,108 "," 15,040 ",100.45%," 14,358 ",105.22%,
 업종전체,경상남도,의령군, 970 , 968 ,100.21%, 943 ,102.86%,
 업종전체,경상남도,함안군," 2,773 "," 2,763 ",100.36%," 2,723 ",101.84%,
 업종전체,경상남도,창녕군," 2,871 "," 2,871 ",100.00%," 2,793 ",102.79%,
 업종전체,경상남도,남해군," 2,417 "," 2,410 ",100.29%," 2,328 ",103.82%,
 업종전체,경상남도,하동군," 2,363 "," 2,357 ",100.25%," 2,303 ",102.61%,
 업종전체,경상남도,산청군," 1,734 "," 1,723 ",100.64%," 1,695 ",102.30%,
 업종전체,경상남도,함양군," 1,823 "," 1,818 ",100.28%," 1,804 ",101.05%,
 업종전체,경상남도,거창군," 2,965 "," 2,959 ",100.20%," 2,890 ",102.60%,
 업종전체,경상남도,합천군," 1,725 "," 1,724 ",100.06%," 1,708 ",101.00%,
 업종전체,제주특별자치도,합계," 44,580 "," 44,300 ",100.63%," 41,522 ",107.36%,
 업종전체,제주특별자치도,제주시," 32,248 "," 32,036 ",100.66%," 30,147 ",106.97%,
 업종전체,제주특별자치도,서귀포시," 12,332 "," 12,264 ",100.55%," 11,375 ",108.41%,
LPG 충전소,합계,합계," 1,613 "," 1,604 ",100.56%," 1,605 ",100.50%,
LPG 충전소,서울특별시,합계, 78 , 77 ,101.30%, 76 ,102.63%,
LPG 충전소,서울특별시,중구, * , * ,, * ,,
LPG 충전소,서울특별시,성동구, * , * ,, * ,,
LPG 충전소,서울특별시,광진구, * , * ,, * ,,
LPG 충전소,서울특별시,동대문구, 4 , 4 ,100.00%, 4 ,100.00%,
LPG 충전소,서울특별시,중랑구, 4 , 4 ,100.00%, 4 ,100.00%,
LPG 충전소,서울특별시,성북구, * , * ,, * ,,
